x,y,z,synthetic,overlap,withheld,return_number,intensity,classification,scanner_channel,edge_of_flight_line,scan_angle,pc_ID,key_point,gps_time,scan_direction_flag,label_semantikarto,probability,point_source_id,user_data,number_of_returns,cluster_label
11.687717499921238,-0.06085250010607193,2.7791956000470637,0,0,0,0,29928,5,0,0,0,1.0,0,52717.418538352205,0,1,0.9989446997642517,0,0,0,0
11.680652700204453,-0.054924299756532374,2.7891930001609366,0,0,0,0,38670,5,0,0,0,1.0,0,52717.418538352205,0,1,0.9989446997642517,0,0,0,0
11.68152239994232,-0.044880399942183305,2.7971532998691595,0,0,0,0,38663,5,0,0,0,1.0,0,52717.41856886978,0,1,0.9989446997642517,0,0,0,0
11.68537520010759,-0.03377930021383455,2.808102,0,0,0,0,36204,5,0,0,0,1.0,0,52717.41856886978,0,1,0.9989446997642517,0,0,0,0
11.595272099759153,-0.18373319974511798,2.6598996001997133,0,0,0,0,15199,5,0,0,0,1.0,0,52717.42354323502,0,1,0.9821562170982361,0,0,0,0
11.596141800222288,-0.17368939987465998,2.667860399849868,0,0,0,0,20548,5,0,0,0,1.0,0,52717.42354323502,0,1,0.9821562170982361,0,0,0,0
11.5960274001338,-0.16465340009673304,2.6778271999383394,0,0,0,0,21506,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9974602460861206,0,0,0,0
11.680683199752563,-0.06713779979599765,2.7312372998689107,0,0,0,0,31199,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9977750182151794,0,0,0,0
11.685497300148237,-0.053021600239636056,2.742172099862535,0,0,0,0,38597,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9977750182151794,0,0,0,0
11.687358899751459,-0.04296229976471587,2.750130000382554,0,0,0,0,40015,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9977750182151794,0,0,0,0
11.692188299653779,-0.02984970010414964,2.7600682999732795,0,0,0,0,42600,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.686122900098871,-0.023906000244424075,2.7700628001954897,0,0,0,0,44799,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.676113199972999,-0.02203099977570107,2.778083199929961,0,0,0,0,45606,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.664081600081332,-0.01817959992463276,2.7881014997488576,0,0,0,0,48674,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.654026100175436,-0.013301199993567,2.7971104000537927,0,0,0,0,50463,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.647991200168638,-0.009357300429906283,2.8071121001251953,0,0,0,0,44368,5,0,0,0,1.0,0,52717.423573752596,0,1,0.9927183389663696,0,0,0,0
11.568363199820977,-0.2766173001901364,2.5353154000289755,0,0,0,0,17552,5,0,0,0,1.0,0,52717.42854811783,0,1,0.9973836541175842,0,0,0,0
11.569248199790758,-0.26756220000387543,2.5462797997833753,0,0,0,0,18742,5,0,0,0,1.0,0,52717.42854811783,0,1,0.9973836541175842,0,0,0,0
11.574069999931371,-0.2544570003859732,2.5542180997620187,0,0,0,0,18711,5,0,0,0,1.0,0,52717.42854811783,0,1,0.9702114462852478,0,0,0,0
11.578899399833691,-0.24134069988336782,2.56515679953117,0,0,0,0,17190,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9702114462852478,0,0,0,0
11.579769199762008,-0.23128939984397542,2.5751170002338357,0,0,0,0,17605,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9702114462852478,0,0,0,0
11.577671100029653,-0.22328790013260094,2.584092900182875,0,0,0,0,18821,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9702114462852478,0,0,0,0
11.586452500144269,-0.2071102000649307,2.5950096999823753,0,0,0,0,18535,5,0,0,0,1.0,0,52717.42857863541,0,1,0.988092839717865,0,0,0,0
11.591281900046589,-0.1939902003617005,2.6069477002861596,0,0,0,0,17022,5,0,0,0,1.0,0,52717.42857863541,0,1,0.988092839717865,0,0,0,0
11.600086200154827,-0.1798233998333839,2.6148718000862763,0,0,0,0,17227,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9821562170982361,0,0,0,0
11.607669900203966,-0.14759640042353334,2.643731900009488,0,0,0,0,17588,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9821562170982361,0,0,0,0
11.607532499931406,-0.13655700018091094,2.6546914998644264,0,0,0,0,17605,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9821562170982361,0,0,0,0
11.686481500165042,-0.06220900023979392,2.687202800225399,0,0,0,0,33880,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9977750182151794,0,0,0,0
11.68734360024481,-0.051157799687610375,2.697159599952181,0,0,0,0,40300,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9977750182151794,0,0,0,0
11.69218069999568,-0.03904509981031784,2.707101699939267,0,0,0,0,41709,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9959418177604675,0,0,0,0
11.69604109992266,-0.027947700194490763,2.717050400073685,0,0,0,0,43890,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9959418177604675,0,0,0,0
11.689968099880776,-0.022011400195049796,2.725045100203671,0,0,0,0,45556,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9959418177604675,0,0,0,0
11.679943100248257,-0.019136400181541394,2.733061600162616,0,0,0,0,46871,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9959418177604675,0,0,0,0
11.664943700161102,-0.01733120030748105,2.743095200184595,0,0,0,0,49930,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9959418177604675,0,0,0,0
11.6568947003239,-0.012418200275515871,2.753098800263796,0,0,0,0,53008,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9927183389663696,0,0,0,0
11.647838599854614,-0.007528099978780022,2.7611054000017434,0,0,0,0,50974,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9927183389663696,0,0,0,0
11.64277269982316,-0.0015688996969716422,2.7710969999515283,0,0,0,0,43000,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9927183389663696,0,0,0,0
11.645656600203539,0.007509599943973995,2.7800557998303783,0,0,0,0,34117,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9927183389663696,0,0,0,0
11.648487099695261,0.020591400107191626,2.7899997998252632,0,0,0,0,22739,5,0,0,0,1.0,0,52717.42857863541,0,1,0.9927183389663696,0,0,0,0
11.523677899932496,-0.3847811000997671,2.4098361000919923,0,0,0,0,20873,5,0,0,0,1.0,0,52717.43355300064,0,1,0.8963176012039185,0,0,0,0
11.52552420002907,-0.3727109000854933,2.4207861999079365,0,0,0,0,19130,5,0,0,0,1.0,0,52717.43355300064,0,1,0.8963176012039185,0,0,0,0
11.537296300332796,-0.35649800025357725,2.428694600084494,0,0,0,0,19069,5,0,0,0,1.0,0,52717.43355300064,0,1,0.9852560758590698,0,0,0,0
11.54312519986218,-0.3433626000721553,2.440630299817713,0,0,0,0,19160,5,0,0,0,1.0,0,52717.43355300064,0,1,0.9852560758590698,0,0,0,0
11.543979700180241,-0.3323115001933803,2.450587099925258,0,0,0,0,17919,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9770050048828125,0,0,0,0
11.551807399929771,-0.3191562000524958,2.45951730030796,0,0,0,0,17354,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9770050048828125,0,0,0,0
11.551662500189563,-0.3081167999922527,2.470476999922827,0,0,0,0,17427,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9770050048828125,0,0,0,0
11.556507100133347,-0.2960041001149602,2.480418999769221,0,0,0,0,18535,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9628132581710815,0,0,0,0
11.56727219999544,-0.27879190016311683,2.4923261000062924,0,0,0,0,18711,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9628132581710815,0,0,0,0
11.5750695002837,-0.263636900399576,2.5012492002997306,0,0,0,0,18405,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9837291836738586,0,0,0,0
11.574924500353042,-0.25260130021336635,2.51120839959548,0,0,0,0,17833,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9837291836738586,0,0,0,0
11.579769199762008,-0.24048110034951878,2.523150799997486,0,0,0,0,17391,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9702114462852478,0,0,0,0
11.578678199936471,-0.23347149980351087,2.530127799978236,0,0,0,0,17623,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9702114462852478,0,0,0,0
11.575557699961774,-0.22347820023159934,2.541098900020659,0,0,0,0,17953,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9702114462852478,0,0,0,0
11.590320599919796,-0.20621179986868782,2.5509951995391895,0,0,0,0,16601,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9702114462852478,0,0,0,0
11.600086200154827,-0.18901510033892727,2.5629051996679233,0,0,0,0,16223,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9605205059051514,0,0,0,0
11.59503559963002,-0.1840631997006772,2.5709007999218443,0,0,0,0,16203,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9605205059051514,0,0,0,0
11.594905899931275,-0.17402370015322532,2.581863699850448,0,0,0,0,16985,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9605205059051514,0,0,0,0
11.596736899795935,-0.16095370029956882,2.5928104999734893,0,0,0,0,17208,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9605205059051514,0,0,0,0
11.619464899776048,-0.14156769992587354,2.6016773002562776,0,0,0,0,16324,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9821562170982361,0,0,0,0
11.622295399993037,-0.12848219965013424,2.61262119972613,0,0,0,0,15681,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9980807304382324,0,0,0,0
11.623172800304719,-0.11943820016619698,2.620585800153409,0,0,0,0,15176,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9980807304382324,0,0,0,0
11.691295700025899,-0.057284399786049725,2.6461713999826744,0,0,0,0,35204,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9986076951026917,0,0,0,0
11.692188299653779,-0.04924410014179886,2.6531389996843586,0,0,0,0,41288,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9986076951026917,0,0,0,0
11.696018300119487,-0.03614320011738527,2.6640804999660066,0,0,0,0,42772,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9794784188270569,0,0,0,0
11.696903300192877,-0.027099199903930532,2.672044600070591,0,0,0,0,44363,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9794784188270569,0,0,0,0
11.68985369968868,-0.022167100193148756,2.68304520011386,0,0,0,0,45866,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9959418177604675,0,0,0,0
11.677829799749171,-0.01932670009816041,2.6900676000003996,0,0,0,0,46382,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9959418177604675,0,0,0,0
11.666828199757944,-0.017459700064965195,2.700090299917518,0,0,0,0,50011,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9959418177604675,0,0,0,0
11.658756300030731,-0.011554300236281345,2.708090199748205,0,0,0,0,53177,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9959418177604675,0,0,0,0
11.653705600040741,-0.006594999737746663,2.718085599713587,0,0,0,0,50289,5,0,0,0,1.0,0,52717.43358351822,0,1,0.9959418177604675,0,0,0,0
11.643642499751477,-0.000716800149677628,2.7270911999448564,0,0,0,0,42698,5,0,0,0,1.0,0,52717.43358351822,0,1,0.8992512822151184,0,0,0,0
11.63660820030807,0.0032116998476881473,2.7370957001479925,0,0,0,0,36500,5,0,0,0,1.0,0,52717.43358351822,0,1,0.8992512822151184,0,0,0,0
11.632511200061506,0.011186100174235679,2.7470772997360884,0,0,0,0,31680,5,0,0,0,1.0,0,52717.43358351822,0,1,0.8992512822151184,0,0,0,0
11.527400999673755,-0.3728431998993902,2.3767813000252,0,0,0,0,20731,5,0,0,0,1.0,0,52717.43858840103,0,1,0.8963176012039185,0,0,0,0
11.532230400301342,-0.35972680036479054,2.387720000175114,0,0,0,0,19707,5,0,0,0,1.0,0,52717.43858840103,0,1,0.8963176012039185,0,0,0,0
11.537044600162199,-0.34561060007891153,2.398654299846044,0,0,0,0,18454,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9463697075843811,0,0,0,0
11.549793300202976,-0.32737149999096177,2.4095523999896304,0,0,0,0,17079,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9463697075843811,0,0,0,0
11.552692399899552,-0.3192965003019204,2.4175145997056524,0,0,0,0,17409,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9463697075843811,0,0,0,0
11.545612400141302,-0.31236470023896484,2.428508599982353,0,0,0,0,17936,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9463697075843811,0,0,0,0
11.554409099762566,-0.2971868999545683,2.4394287002362818,0,0,0,0,18535,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9628132581710815,0,0,0,0
11.564174700101205,-0.2799937996815416,2.4503387003685932,0,0,0,0,18868,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9628132581710815,0,0,0,0
11.5709877000786,-0.26585420012335725,2.459267899725142,0,0,0,0,18140,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9628132581710815,0,0,0,0
11.578815500018582,-0.2526914999398088,2.4701979999599972,0,0,0,0,17481,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9837291836738586,0,0,0,0
11.584636699595805,-0.2395634998010508,2.480133400039823,0,0,0,0,17300,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9837291836738586,0,0,0,0
11.596370699968055,-0.22034359960864394,2.490030600063052,0,0,0,0,16384,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9837291836738586,0,0,0,0
11.595287400094676,-0.2133228000578355,2.5000079998343097,0,0,0,0,16483,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9837291836738586,0,0,0,0
11.580295600287277,-0.21252480006582175,2.5080455000197333,0,0,0,0,15724,5,0,0,0,1.0,0,52717.43858840103,0,1,0.9837291836738586,0,0,0,0
