x,y,z,return_number,overlap,classification,number_of_returns,edge_of_flight_line,gps_time,pc_ID,key_point,probability,withheld,synthetic,scanner_channel,point_source_id,scan_angle,user_data,intensity,label_semantikarto,scan_direction_flag,cluster_label
-0.9761428498409059,0.6209203999383958,8.076138501089384,0,0,2,0,0,53046.514431258394,2.0,0,0.945436418056488,0,0,0,0,0,0,20975,1,0,0
-0.9660491499527979,0.6100267003475929,8.094261601132887,0,0,2,0,0,53046.51443221207,2.0,0,0.945436418056488,0,0,0,0,0,0,24565,1,0,0
-0.9314880493703372,0.6183125999711009,8.075854500409003,0,0,2,0,0,53046.51944734688,2.0,0,0.945436418056488,0,0,0,0,0,0,12277,1,0,0
-0.9280471497658058,0.6057742999655495,8.090241800186813,0,0,2,0,0,53046.519448300554,2.0,0,0.945436418056488,0,0,0,0,0,0,23914,1,0,0
-0.9111557496960185,0.5973821000608183,8.109059998522671,0,0,2,0,0,53046.51944925423,2.0,0,0.9061034917831421,0,0,0,0,0,0,17190,1,0,0
-0.8972702501030205,0.606137799718354,8.081264200794333,0,0,2,0,0,53046.524463435366,2.0,0,0.7531278729438782,0,0,0,0,0,0,13983,1,0,0
-0.9010772497314514,0.5891942000462408,8.096043399459745,0,0,2,0,0,53046.52446438904,2.0,0,0.9061034917831421,0,0,0,0,0,0,19115,1,0,0
-0.6327285500497115,0.5408151999088465,8.101578700101921,0,0,2,0,0,53046.564591427996,2.0,0,0.9830358028411865,0,0,0,0,0,0,26769,1,0,-1
-0.6012191497291373,0.5489540998061508,8.08627569968052,0,0,2,0,0,53046.56960656281,2.0,0,0.9830358028411865,0,0,0,0,0,0,20705,1,0,-1
-0.5977554502392946,0.5364538003384145,8.101661700647691,0,0,2,0,0,53046.56960763569,2.0,0,0.9872099161148071,0,0,0,0,0,0,27432,1,0,-1
-0.569389350339079,0.5353489000266767,8.09281479990253,0,0,2,0,0,53046.5746227705,2.0,0,0.9872099161148071,0,0,0,0,0,0,21348,1,0,-1
0.3355560495483219,0.39395249986198966,8.542706299580043,0,0,9,0,0,53046.61477138634,2.0,0,0.9998959302902222,0,0,0,0,0,0,36993,1,0,1
0.3323669499311437,0.3798075999795049,8.554356498717596,0,0,9,0,0,53046.61477245922,2.0,0,0.9998959302902222,0,0,0,0,0,0,46686,1,0,1
0.32158664976585927,0.35946770028511604,8.570482299601327,0,0,9,0,0,53046.6147734129,2.0,0,0.9998959302902222,0,0,0,0,0,0,44576,1,0,1
0.31300355037567384,0.34448830005881,8.580328999410115,0,0,9,0,0,53046.61477436657,2.0,0,0.9999611377716064,0,0,0,0,0,0,31798,1,0,1
0.3354492494663087,0.3965442997016176,8.508570199760076,0,0,9,0,0,53046.619785567476,2.0,0,0.999847412109375,0,0,0,0,0,0,32620,1,0,1
0.32498165016633385,0.37795619971330624,8.51961359972372,0,0,9,0,0,53046.61978652115,2.0,0,0.9998959302902222,0,0,0,0,0,0,45009,1,0,1
0.3094253502465323,0.3595804994647246,8.530806898622977,0,0,9,0,0,53046.619787594034,2.0,0,0.9998959302902222,0,0,0,0,0,0,48615,1,0,1
0.29955294990318065,0.33892800013041435,8.544913999618334,0,0,9,0,0,53046.61978854771,2.0,0,0.9999611377716064,0,0,0,0,0,0,49919,1,0,1
0.29450985023053206,0.3212122002010227,8.558759800282303,0,0,9,0,0,53046.61978950138,2.0,0,0.9999611377716064,0,0,0,0,0,0,49624,1,0,1
0.29385375039595246,0.3086877000318771,8.574274501202614,0,0,9,0,0,53046.61979045506,2.0,0,0.9999611377716064,0,0,0,0,0,0,43577,1,0,1
0.30126185004607353,0.2953167002051799,8.591573699781673,0,0,9,0,0,53046.61979152794,2.0,0,0.9999611377716064,0,0,0,0,0,0,25302,1,0,1
0.3266830503546938,0.3889059000637517,8.475091499857506,0,0,9,0,0,53046.62480070229,2.0,0,0.999847412109375,0,0,0,0,0,0,32974,1,0,1
0.31816105009210605,0.37400249966184396,8.48693579909937,0,0,9,0,0,53046.62480165596,2.0,0,0.999847412109375,0,0,0,0,0,0,45953,1,0,1
0.30708315015437104,0.35261569988390407,8.5011083002459,0,0,9,0,0,53046.624802728846,2.0,0,0.999847412109375,0,0,0,0,0,0,50110,1,0,1
0.29667664998199383,0.33410360034560704,8.514149301206542,0,0,9,0,0,53046.62480368252,2.0,0,0.9999949932098389,0,0,0,0,0,0,51104,1,0,1
0.29328155016255963,0.3190258001161688,8.526842499665408,0,0,9,0,0,53046.624804636194,2.0,0,0.9999611377716064,0,0,0,0,0,0,51322,1,0,1
0.2906799501212747,0.30281650026206924,8.541556401398598,0,0,9,0,0,53046.62480558987,2.0,0,0.9999611377716064,0,0,0,0,0,0,50980,1,0,1
0.29341124954884357,0.2915237002433927,8.556919400179545,0,0,9,0,0,53046.62480666275,2.0,0,0.9999611377716064,0,0,0,0,0,0,49550,1,0,1
0.301383950058865,0.27605039938019993,8.576283399982676,0,0,9,0,0,53046.62480761643,2.0,0,0.9999687671661377,0,0,0,0,0,0,42994,1,0,1
0.31583404992348557,0.26615180012434303,8.594233598904342,0,0,9,0,0,53046.6248085701,2.0,0,0.9999687671661377,0,0,0,0,0,0,24231,1,0,1
0.2898406499697503,0.38129990044980544,8.42846520040746,0,0,9,0,0,53046.629814883425,2.0,0,0.9991706609725952,0,0,0,0,0,0,24449,1,0,1
0.32275395012519364,0.37937920008031056,8.448543200081863,0,0,9,0,0,53046.6298158371,2.0,0,0.999847412109375,0,0,0,0,0,0,42929,1,0,1
