x,y,z,label_semantikarto,number_of_returns,gps_time,edge_of_flight_line,synthetic,scanner_channel,return_number,scan_direction_flag,probability,withheld,intensity,classification,pc_ID,point_source_id,scan_angle,overlap,user_data,key_point,cluster_label
3.461086250228823,-0.2004056998623859,9.1404724,1,0,53813.62910964127,0,0,0,0,0,0.999640703201294,0,18695,9,3.0,0,0,0,0,0,0
3.470989250224034,-0.19747710002223592,9.13232360002003,1,0,53813.62910964127,0,0,0,0,0,0.999640703201294,0,27291,9,3.0,0,0,0,0,0,0
3.4869804499238306,-0.1875862999500959,9.1270805987133,1,0,53813.62910964127,0,0,0,0,0,0.9985027313232422,0,20361,9,3.0,0,0,0,0,0,0
3.4402427498350296,-0.1742680997289347,9.13976309960772,1,0,53813.63411452408,0,0,0,0,0,0.999158501625061,0,9924,9,3.0,0,0,0,0,0,0
3.4402427498350296,-0.1742680997289347,9.13976309960772,1,0,53813.63411452408,0,0,0,0,0,0.999158501625061,0,9924,9,3.0,0,0,0,0,0,0
3.4660301501531197,-0.16845100034860594,9.122376999896659,1,0,53813.63411452408,0,0,0,0,0,0.999158501625061,0,31064,9,3.0,0,0,0,0,0,0
3.4660301501531197,-0.16845100034860594,9.122376999896659,1,0,53813.63411452408,0,0,0,0,0,0.999158501625061,0,31064,9,3.0,0,0,0,0,0,0
3.4767494500957885,-0.17353459976875746,9.105220299403062,1,0,53813.63411452408,0,0,0,0,0,0.9985027313232422,0,29679,9,3.0,0,0,0,0,0,0
3.4761619499795087,-0.20355059976351272,9.079245300806177,1,0,53813.63411452408,0,0,0,0,0,0.9985027313232422,0,34828,9,3.0,0,0,0,0,0,0
3.4849281499820455,-0.209618300147276,9.066118300581238,1,0,53813.63411452408,0,0,0,0,0,0.9999761581420898,0,41906,9,3.0,0,0,0,0,0,0
3.497776050293259,-0.20871130007910565,9.054926999285643,1,0,53813.63411452408,0,0,0,0,0,0.9999761581420898,0,43481,9,3.0,0,0,0,0,0,0
3.508655549999348,-0.20678990000881717,9.045764301044501,1,0,53813.63411452408,0,0,0,0,0,0.9999761581420898,0,42264,9,3.0,0,0,0,0,0,0
3.522571549717103,-0.2008877000923475,9.037554100848588,1,0,53813.63411452408,0,0,0,0,0,0.9999761581420898,0,39594,9,3.0,0,0,0,0,0,0
3.535533850176587,-0.1929777000966451,9.031357099489867,1,0,53813.63411452408,0,0,0,0,0,0.9999761581420898,0,34717,9,3.0,0,0,0,0,0,0
3.4281806500557535,-0.15519750012128086,9.126927599752673,1,0,53813.63911940689,0,0,0,0,0,0.999158501625061,0,20886,9,3.0,0,0,0,0,0,0
3.4390144501997044,-0.15627730020733968,9.115767199742926,1,0,53813.63911940689,0,0,0,0,0,0.999158501625061,0,28606,9,3.0,0,0,0,0,0,0
3.4382743501606314,-0.194297599834569,9.082798901342592,1,0,53813.63911940689,0,0,0,0,0,0.999158501625061,0,35379,9,3.0,0,0,0,0,0,0
3.4429130497739786,-0.20834189975790665,9.064737399256169,1,0,53813.63911940689,0,0,0,0,0,0.9999996423721313,0,43464,9,3.0,0,0,0,0,0,0
3.4537238502900243,-0.2104223001533367,9.052577898937963,1,0,53813.63911940689,0,0,0,0,0,0.9999996423721313,0,45958,9,3.0,0,0,0,0,0,0
3.4645728501152298,-0.21050139991715222,9.042416799504242,1,0,53813.63918044205,0,0,0,0,0,0.9999996423721313,0,46029,9,3.0,0,0,0,0,0,0
3.4775199499627334,-0.20259210001155448,9.035219898587403,1,0,53813.63918044205,0,0,0,0,0,0.9999996423721313,0,45093,9,3.0,0,0,0,0,0,0
3.4956168499908187,-0.18571210039916314,9.03394180006718,1,0,53813.63918044205,0,0,0,0,0,0.9999648332595825,0,43658,9,3.0,0,0,0,0,0,0
3.51171495005127,-0.1688189004767236,9.032693399406776,1,0,53813.63918044205,0,0,0,0,0,0.9999648332595825,0,41194,9,3.0,0,0,0,0,0,0
3.3982887494417424,-0.19003379967613307,9.08238609890635,1,0,53813.64418532486,0,0,0,0,0,0.9989180564880371,0,16852,9,3.0,0,0,0,0,0,0
3.4111289498593167,-0.1891268996208348,9.071194901385766,1,0,53813.64418532486,0,0,0,0,0,0.9989180564880371,0,36796,9,3.0,0,0,0,0,0,0
3.420917450118608,-0.19220129947607817,9.058051000398645,1,0,53813.64418532486,0,0,0,0,0,0.9989180564880371,0,44109,9,3.0,0,0,0,0,0,0
3.4286842503700092,-0.19826239970481735,9.04493879994703,1,0,53813.64418532486,0,0,0,0,0,0.9999996423721313,0,45737,9,3.0,0,0,0,0,0,0
3.4425773500475083,-0.19436079963532377,9.035730198558534,1,0,53813.64418532486,0,0,0,0,0,0.9999996423721313,0,45854,9,3.0,0,0,0,0,0,0
3.4425773500475083,-0.19436079963532377,9.035730198558534,1,0,53813.64418532486,0,0,0,0,0,0.9999996423721313,0,45854,9,3.0,0,0,0,0,0,0
3.4586524500146916,-0.17846820002225547,9.033482601097118,1,0,53813.64418532486,0,0,0,0,0,0.999998927116394,0,45240,9,3.0,0,0,0,0,0,0
3.4737434499650064,-0.16256840017693053,9.032249699325916,1,0,53813.64418532486,0,0,0,0,0,0.9999648332595825,0,43502,9,3.0,0,0,0,0,0,0
3.4897270502895386,-0.15167829996275645,9.026006101165809,1,0,53813.64418532486,0,0,0,0,0,0.9999648332595825,0,39700,9,3.0,0,0,0,0,0,0
3.509021750072065,-0.12180009964786123,9.032702901192604,1,0,53813.64418532486,0,0,0,0,0,0.9999996423721313,0,38256,9,3.0,0,0,0,0,0,0
